pdf_file,page,text,font_size,is_bold,is_italic,rel_y,length,num_words,x,color,heading_level,text_length,starts_with_number,ends_with_colon,all_caps,title_case,has_numbers,has_special_chars,font_size_large,font_size_medium,font_size_small,position_top,position_middle,position_bottom,short_text,medium_text,long_text,single_word,few_words,many_words
file01.pdf,1,Application form for grant of LTC advance,11.670000076293945,1,0,0.1259838022698699,41,7,199.86000061035156,0,not_heading,41,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
file01.pdf,1,1.,9.744400024414062,1,0,0.16144333429404506,2,1,70.0199966430664,0,H2,2,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
file01.pdf,1,Name of the Government Servant,9.744400024414062,0,0,0.15794831047148716,30,5,95.99856567382812,0,not_heading,30,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
file01.pdf,1,2.,9.744400024414062,1,0,0.18295742950077012,2,1,70.0199966430664,0,H3,2,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
file01.pdf,1,Designation,9.744400024414062,0,0,0.1793929618781083,11,1,95.99856567382812,0,H3,11,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
file01.pdf,1,3.,9.744400024414062,1,0,0.21487555424561128,2,1,70.0199966430664,0,H2,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,Date of entering the Central Government,9.744400024414062,0,0,0.20090705708483336,39,6,95.99856567382812,0,not_heading,39,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
file01.pdf,1,Service,9.744400024414062,0,0,0.22178463244947855,7,1,95.99856567382812,0,not_heading,7,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,4.,9.744400024414062,1,0,0.24679367899045243,2,1,70.0199966430664,0,H3,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,PAY + SI + NPA,9.744400024414062,0,0,0.24329865516789453,14,5,95.99856567382812,0,not_heading,14,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
file01.pdf,1,5.,9.744400024414062,1,0,0.2683077741971775,2,1,70.0199966430664,0,H2,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,Whether permanent or temporary,9.744400024414062,0,0,0.26474330657451567,30,4,95.99856567382812,0,not_heading,30,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
file01.pdf,1,6.,9.744400024414062,1,0,0.28633837122248923,2,1,70.0199966430664,0,H3,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,Home Town as recorded in the Service Book,9.744400024414062,0,0,0.28633837122248923,41,8,95.99856567382812,0,not_heading,41,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
file01.pdf,1,7.,9.744400024414062,1,0,0.31477308839630347,2,1,70.0199966430664,0,not_heading,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,Whether wife / husband is employed and if,9.744400024414062,0,0,0.30080457311344827,41,8,95.99856567382812,0,not_heading,41,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
file01.pdf,1,so whether entitled to LTC,9.744400024414062,0,0,0.32168216660017074,26,5,95.99856567382812,0,not_heading,26,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
file01.pdf,1,8.,9.744400024414062,1,0,0.3676498304353474,2,1,70.0199966430664,0,not_heading,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,Whether the concession is to be availed for,9.744400024414062,0,0,0.34320778744804037,43,8,95.99856567382812,0,not_heading,43,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
file01.pdf,1,visiting home town and if so block for which,9.744400024414062,0,0,0.36408536281268555,44,9,95.99856567382812,0,not_heading,44,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
file01.pdf,1,LTC is to be availed.,9.744400024414062,0,0,0.3850323094891256,21,5,95.99856567382812,0,not_heading,21,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
file01.pdf,1,9.,9.744400024414062,1,0,0.43091893139474463,2,1,70.0199966430664,0,not_heading,2,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,(a) If the concession is to visit anywhere in,9.744400024414062,0,0,0.40647696089574675,45,9,95.99856567382812,0,not_heading,45,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
file01.pdf,1,"India, the place to be visited.",9.744400024414062,0,0,0.42742390757218673,31,6,95.99856567382812,0,not_heading,31,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
file01.pdf,1,(b) Block for which to be availed.,9.744400024414062,0,0,0.448301482936832,34,7,95.99856567382812,0,not_heading,34,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
file01.pdf,1,10.,9.744400024414062,1,0,0.49426907428369954,3,1,70.0199966430664,0,H2,3,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
file01.pdf,1,Single,9.744400024414062,0,0,0.4698271037847016,6,1,95.99856567382812,0,H3,6,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
